('a', 0.32);('i', 0.32);('q', 0.31);('b', 0.3);('j', 0.3);('p', 0.3);('w', 0.29);('o', 0.26);('v', 0.25);('r', 0.22);('l', 0.19);('t', 0.19);('f', 0.18);('c', 0.16);('n', 0.15);('u', 0.15);('g', 0.14);('s', 0.13);('k', 0.12);('d', 0.11);('y', 0.1);('h', 0.05);('e', 0.03);('m', 0.03);('z', 0.02);('x', 0.0)
('h', 0.95);('d', 0.93);('m', 0.88);('z', 0.86);('x', 0.85);('f', 0.82);('r', 0.82);('n', 0.8);('b', 0.8);('k', 0.79);('e', 0.79);('o', 0.79);('v', 0.78);('g', 0.77);('t', 0.77);('s', 0.75);('p', 0.74);('u', 0.74);('w', 0.74);('a', 0.72);('y', 0.7);('q', 0.66);('c', 0.57);('l', 0.5);('i', 0.0);('j', 0.0)
('h', 0.95);('d', 0.93);('m', 0.88);('z', 0.86);('x', 0.85);('f', 0.82);('r', 0.82);('n', 0.8);('b', 0.8);('k', 0.79);('e', 0.79);('o', 0.79);('v', 0.78);('g', 0.77);('t', 0.77);('s', 0.75);('p', 0.74);('u', 0.74);('w', 0.74);('a', 0.72);('y', 0.7);('q', 0.66);('c', 0.57);('l', 0.5);('i', 0.0);('j', 0.0)
('e', 0.92);('y', 0.88);('s', 0.86);('u', 0.86);('x', 0.85);('m', 0.84);('g', 0.84);('z', 0.82);('h', 0.78);('d', 0.78);('k', 0.78);('f', 0.73);('v', 0.72);('n', 0.72);('q', 0.69);('p', 0.68);('w', 0.68);('o', 0.68);('t', 0.68);('r', 0.67);('a', 0.64);('b', 0.64);('c', 0.62);('l', 0.54);('i', 0.01);('j', 0.0)
('l', 0.86);('c', 0.68);('q', 0.5);('s', 0.41);('t', 0.41);('p', 0.39);('g', 0.38);('w', 0.38);('a', 0.37);('n', 0.37);('u', 0.35);('k', 0.33);('v', 0.33);('y', 0.3);('b', 0.29);('o', 0.29);('f', 0.26);('r', 0.24);('z', 0.23);('d', 0.18);('e', 0.18);('h', 0.16);('m', 0.14);('x', 0.11);('i', 0.0);('j', 0.0)
('l', 0.85);('c', 0.8);('t', 0.71);('n', 0.67);('q', 0.66);('p', 0.63);('s', 0.63);('g', 0.62);('w', 0.62);('a', 0.62);('k', 0.61);('b', 0.6);('v', 0.6);('o', 0.58);('u', 0.56);('f', 0.55);('r', 0.55);('z', 0.53);('d', 0.51);('y', 0.49);('h', 0.49);('m', 0.45);('e', 0.45);('x', 0.41);('i', 0.01);('j', 0.0)
('o', 0.97);('r', 0.94);('a', 0.91);('b', 0.91);('p', 0.9);('f', 0.9);('w', 0.9);('v', 0.89);('n', 0.83);('t', 0.83);('d', 0.78);('q', 0.76);('k', 0.74);('g', 0.74);('h', 0.73);('s', 0.71);('u', 0.7);('m', 0.7);('z', 0.7);('x', 0.66);('e', 0.65);('y', 0.65);('c', 0.55);('l', 0.52);('i', 0.01);('j', 0.0)
('t', 0.9);('p', 0.88);('a', 0.87);('w', 0.87);('n', 0.85);('o', 0.84);('v', 0.82);('q', 0.8);('b', 0.8);('f', 0.8);('r', 0.79);('g', 0.77);('s', 0.77);('k', 0.75);('u', 0.71);('d', 0.7);('z', 0.69);('c', 0.68);('l', 0.66);('h', 0.66);('y', 0.65);('m', 0.64);('e', 0.62);('x', 0.59);('i', 0.01);('j', 0.0)
('h', 0.98);('d', 0.94);('m', 0.91);('z', 0.89);('x', 0.87);('f', 0.83);('r', 0.82);('n', 0.82);('e', 0.81);('k', 0.81);('g', 0.8);('o', 0.8);('v', 0.8);('b', 0.79);('s', 0.79);('t', 0.78);('u', 0.76);('p', 0.75);('w', 0.75);('a', 0.73);('y', 0.73);('q', 0.67);('c', 0.59);('l', 0.52);('i', 0.01);('j', 0.0)
('e', 0.94);('y', 0.91);('u', 0.87);('x', 0.86);('m', 0.85);('s', 0.83);('g', 0.83);('d', 0.79);('z', 0.79);('h', 0.78);('f', 0.77);('k', 0.76);('v', 0.76);('w', 0.72);('n', 0.72);('o', 0.72);('p', 0.72);('q', 0.7);('r', 0.7);('a', 0.68);('t', 0.67);('b', 0.67);('c', 0.58);('l', 0.5);('i', 0.01);('j', 0.0)
('o', 0.97);('p', 0.93);('a', 0.92);('r', 0.92);('v', 0.92);('w', 0.92);('f', 0.92);('b', 0.9);('n', 0.86);('t', 0.85);('d', 0.8);('k', 0.78);('q', 0.78);('g', 0.78);('h', 0.75);('s', 0.75);('u', 0.74);('z', 0.73);('m', 0.72);('y', 0.69);('e', 0.68);('x', 0.68);('c', 0.59);('l', 0.55);('i', 0.01);('j', 0.0)
('e', 0.94);('y', 0.91);('u', 0.87);('x', 0.86);('m', 0.85);('s', 0.83);('g', 0.83);('d', 0.79);('z', 0.79);('h', 0.78);('f', 0.77);('k', 0.76);('v', 0.76);('w', 0.72);('n', 0.72);('o', 0.72);('p', 0.72);('q', 0.7);('r', 0.7);('a', 0.68);('t', 0.67);('b', 0.67);('c', 0.58);('l', 0.5);('i', 0.01);('j', 0.0)
