('l', 0.77);('c', 0.62);('q', 0.42);('s', 0.3);('t', 0.29);('g', 0.28);('p', 0.28);('w', 0.28);('a', 0.27);('n', 0.26);('u', 0.26);('k', 0.24);('v', 0.23);('y', 0.21);('b', 0.19);('o', 0.19);('f', 0.15);('r', 0.13);('z', 0.11);('d', 0.08);('e', 0.08);('h', 0.05);('m', 0.03);('i', 0.02);('j', 0.02);('x', 0.0)
('p', 0.99);('w', 0.98);('a', 0.96);('o', 0.91);('v', 0.91);('f', 0.87);('b', 0.86);('r', 0.86);('n', 0.83);('t', 0.83);('q', 0.83);('g', 0.77);('k', 0.76);('s', 0.74);('d', 0.74);('u', 0.74);('h', 0.69);('y', 0.67);('z', 0.67);('m', 0.67);('e', 0.64);('x', 0.62);('c', 0.61);('l', 0.57);('i', 0.01);('j', 0.0)
('r', 1.0);('o', 0.94);('f', 0.92);('b', 0.92);('v', 0.88);('a', 0.87);('n', 0.86);('p', 0.86);('w', 0.86);('t', 0.85);('d', 0.84);('h', 0.8);('k', 0.78);('g', 0.76);('m', 0.75);('z', 0.75);('q', 0.73);('s', 0.73);('u', 0.72);('x', 0.71);('e', 0.69);('y', 0.66);('c', 0.57);('l', 0.52);('i', 0.01);('j', 0.0)
('y', 0.9);('e', 0.87);('u', 0.84);('s', 0.8);('x', 0.79);('g', 0.78);('m', 0.76);('z', 0.72);('k', 0.71);('d', 0.7);('h', 0.7);('v', 0.68);('f', 0.67);('q', 0.66);('n', 0.64);('w', 0.64);('p', 0.63);('o', 0.62);('r', 0.61);('a', 0.6);('t', 0.6);('b', 0.58);('c', 0.58);('l', 0.49);('i', 0.01);('j', 0.0)
('m', 1.0);('x', 0.94);('h', 0.92);('d', 0.91);('z', 0.91);('e', 0.9);('f', 0.82);('g', 0.82);('s', 0.82);('k', 0.8);('u', 0.8);('y', 0.8);('n', 0.78);('v', 0.78);('r', 0.78);('o', 0.76);('t', 0.75);('b', 0.74);('w', 0.74);('p', 0.73);('a', 0.71);('q', 0.68);('c', 0.58);('l', 0.51);('i', 0.0);('j', 0.0)
('i', 0.95);('j', 0.94);('l', 0.32);('q', 0.3);('c', 0.27);('a', 0.23);('p', 0.23);('w', 0.23);('b', 0.19);('v', 0.19);('o', 0.17);('u', 0.16);('t', 0.16);('g', 0.15);('s', 0.14);('y', 0.14);('n', 0.13);('r', 0.13);('f', 0.13);('k', 0.12);('d', 0.06);('e', 0.05);('h', 0.02);('z', 0.02);('m', 0.02);('x', 0.0)
('o', 1.0);('r', 0.94);('f', 0.92);('a', 0.91);('p', 0.91);('b', 0.91);('v', 0.9);('w', 0.9);('n', 0.86);('t', 0.86);('d', 0.8);('k', 0.77);('g', 0.76);('q', 0.76);('h', 0.75);('s', 0.74);('z', 0.73);('m', 0.72);('u', 0.72);('e', 0.68);('x', 0.68);('y', 0.67);('c', 0.58);('l', 0.54);('i', 0.01);('j', 0.0)
('s', 0.94);('g', 0.9);('z', 0.89);('k', 0.84);('m', 0.84);('n', 0.84);('u', 0.84);('d', 0.84);('e', 0.83);('h', 0.83);('t', 0.82);('f', 0.81);('y', 0.81);('v', 0.81);('x', 0.81);('o', 0.77);('p', 0.77);('w', 0.77);('r', 0.77);('b', 0.75);('a', 0.74);('q', 0.74);('c', 0.68);('l', 0.62);('i', 0.01);('j', 0.0)
('u', 0.97);('g', 0.9);('y', 0.9);('s', 0.87);('e', 0.82);('q', 0.82);('v', 0.82);('k', 0.81);('w', 0.78);('f', 0.78);('p', 0.78);('d', 0.76);('m', 0.76);('n', 0.76);('x', 0.75);('a', 0.74);('o', 0.74);('z', 0.73);('h', 0.72);('r', 0.72);('t', 0.72);('b', 0.7);('c', 0.66);('l', 0.57);('i', 0.01);('j', 0.0)
('m', 0.98);('x', 0.93);('h', 0.92);('z', 0.92);('d', 0.9);('e', 0.88);('f', 0.82);('s', 0.82);('g', 0.82);('k', 0.8);('u', 0.79);('n', 0.79);('y', 0.79);('r', 0.78);('v', 0.78);('o', 0.76);('t', 0.75);('b', 0.74);('p', 0.73);('w', 0.73);('a', 0.7);('q', 0.67);('c', 0.59);('l', 0.51);('i', 0.0);('j', 0.0)
('h', 0.96);('d', 0.94);('m', 0.9);('z', 0.9);('x', 0.87);('k', 0.85);('n', 0.84);('g', 0.83);('e', 0.83);('f', 0.83);('s', 0.81);('r', 0.81);('v', 0.8);('t', 0.79);('b', 0.79);('o', 0.79);('u', 0.78);('p', 0.75);('w', 0.75);('y', 0.75);('a', 0.73);('q', 0.69);('c', 0.62);('l', 0.55);('i', 0.01);('j', 0.0)
('o', 1.0);('r', 0.94);('f', 0.92);('a', 0.91);('p', 0.91);('b', 0.91);('v', 0.9);('w', 0.9);('n', 0.86);('t', 0.86);('d', 0.8);('k', 0.77);('g', 0.76);('q', 0.76);('h', 0.75);('s', 0.74);('z', 0.73);('m', 0.72);('u', 0.72);('e', 0.68);('x', 0.68);('y', 0.67);('c', 0.58);('l', 0.54);('i', 0.01);('j', 0.0)
('l', 0.79);('c', 0.64);('q', 0.43);('s', 0.32);('t', 0.31);('g', 0.3);('p', 0.3);('w', 0.29);('a', 0.28);('n', 0.28);('u', 0.28);('k', 0.26);('v', 0.25);('y', 0.22);('b', 0.2);('o', 0.2);('f', 0.16);('r', 0.15);('z', 0.12);('d', 0.09);('e', 0.09);('h', 0.06);('m', 0.05);('x', 0.02);('i', 0.01);('j', 0.0)
('o', 0.96);('p', 0.95);('a', 0.95);('w', 0.94);('v', 0.92);('f', 0.9);('r', 0.9);('b', 0.89);('n', 0.85);('t', 0.85);('q', 0.8);('d', 0.77);('g', 0.77);('k', 0.77);('s', 0.74);('u', 0.73);('h', 0.72);('z', 0.71);('m', 0.7);('y', 0.67);('e', 0.66);('x', 0.65);('c', 0.6);('l', 0.55);('i', 0.01);('j', 0.0)
('r', 1.0);('o', 0.94);('f', 0.92);('b', 0.92);('v', 0.88);('a', 0.87);('n', 0.86);('p', 0.86);('w', 0.86);('t', 0.85);('d', 0.84);('h', 0.8);('k', 0.78);('g', 0.76);('m', 0.75);('z', 0.75);('q', 0.73);('s', 0.73);('u', 0.72);('x', 0.71);('e', 0.69);('y', 0.66);('c', 0.57);('l', 0.52);('i', 0.01);('j', 0.0)
